# Pin Out For CertusPro-NX 100K,,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,,
"# Revised Mar, 8, 2021",,,,,,,,,,,,,
# Revision 0.91,,,,,,,,,,,,,
"# Revised Apr, 8, 2021",,,,,,,,,,,,,
# Add ASG256 Package,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,
"# Revised Aug, 11, 2021",,,,,,,,,,,,,
# Add CBG256 and BFG484 Package,,,,,,,,,,,,,
,,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK, Dual Function,LVDS,HIGHSPEED,DQS,BBG484,LFG672,ASG256,CBG256,BFG484,
258,PB28B,-,5,-,Comp_OF_PB28A,TRUE,BDQ30,Y5,AA24,M13,N15,Y4,
261,PB30A,-,5,-,True_OF_PB30B,TRUE,BDQS30,V1,AC26,R14,N16,V1,
264,PB32A,-,5,-,True_OF_PB32B,TRUE,BDQ30,W6,AB23,P13,P15,Y6,
266,PB30B,-,5,-,Comp_OF_PB30A,TRUE,BDQSN30,W1,AB26,T14,P16,W1,
268,PB32B,-,5,-,Comp_OF_PB32A,TRUE,BDQ30,Y6,AB24,P14,R15,Y5,
270,PB34A,-,5,-,True_OF_PB34B,TRUE,BDQ30,W2,AB25,K13,N14,W2,
273,PB36A,-,5,-,True_OF_PB36B,TRUE,BDQ30,V6,AC25,T13,M13,W6,
274,PB34B,-,5,-,Comp_OF_PB34A,TRUE,BDQ30,Y2,AC24,L13,N13,Y2,
277,PB38A,-,5,-,True_OF_PB38B,TRUE,BDQ42,AA2,AC22,K12,P14,AA2,
278,PB36B,-,5,-,Comp_OF_PB36A,TRUE,BDQ30,V5,AD26,R13,M12,V6,
282,PB38B,-,5,-,Comp_OF_PB38A,TRUE,BDQ42,AA3,AD23,J12,P13,AA3,
284,PB40A,-,5,PCLKT5_2,True_OF_PB40B,TRUE,BDQ42,AB2,AD25,P12,R14,AB2,
289,PB40B,-,5,PCLKC5_2,Comp_OF_PB40A,TRUE,BDQ42,AB3,AE25,P11,R13,AB3,
290,PB42A,-,5,-,True_OF_PB42B,TRUE,BDQS42,Y1,AE26,T12,T14,Y1,
296,PB44A,-,5,-,True_OF_PB44B,TRUE,BDQ42,AA4,AE24,T11,N12,AA4,
297,PB42B,-,5,-,Comp_OF_PB42A,TRUE,BDQSN42,AA1,AF25,R12,T13,AA1,
300,PB46A,-,5,PCLKT5_3,True_OF_PB46B,TRUE,BDQ42,AA5,AC21,L12,R12,AA5,
301,PB44B,-,5,-,Comp_OF_PB44A,TRUE,BDQ42,AB4,AF24,R11,P12,AB4,
305,PB46B,-,5,PCLKC5_3,Comp_OF_PB46A,TRUE,BDQ42,AB5,AD22,L11,T12,AB5,
306,PB48A,-,5,-,True_OF_PB48B,TRUE,BDQ42,AB6,AC20,M12,N11,AB6,
311,PB48B,-,5,VREF5_2,Comp_OF_PB48A,TRUE,BDQ42,AA6,AB20,M11,M11,AA6,
320,PB50A,-,4,VREF4_1,True_OF_PB50B,TRUE,BDQ54,W7,AE22,K11,K10,W7,
325,PB52A,-,4,PCLKT4_0,True_OF_PB52B,TRUE,BDQ54,V7,AD21,T9,P10,V7,
